,Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
0,,"Berlin, Germany",215.25,140.62,77.34,64.81,89.06,5.74,23.00,40.00,-
1,,"Zurich, Switzerland",213.18,136.31,83.85,77.78,166.07,8.27,27.33,26.50,-
2,,"Edmonton, Canada",204.86,124.69,58.98,78.89,112.10,3.59,35.33,21.25,-
3,,"Perth, Australia",196.00,118.34,48.75,87.04,142.18,5.24,27.00,15.00,-
4,,"Calgary, Canada",190.78,124.25,71.88,70.42,111.71,4.58,62.00,25.08,-
5,,"Trondheim, Norway",187.70,95.20,78.19,81.71,181.02,6.27,19.25,13.62,-
6,,"Stockholm, Sweden",166.05,84.85,73.44,85.65,118.21,11.36,30.67,20.00,-
7,,"Sydney, Australia",165.67,100.96,72.80,78.33,139.12,8.63,46.70,25.62,-
8,,"Montreal, Canada",164.99,114.23,70.88,70.50,99.58,3.95,32.17,58.75,-
9,,"Dubai, United Arab Emirates",161.35,136.08,57.81,63.89,83.96,7.26,17.00,75.21,-
10,,"Toronto, Canada",159.07,105.78,68.23,70.56,106.58,7.65,38.09,42.50,-
11,,"Copenhagen, Denmark",155.40,95.37,54.69,89.81,129.34,6.26,36.67,34.17,-
12,,"Brisbane, Australia",147.46,97.74,48.39,86.11,122.97,5.77,52.00,32.50,-
13,,"San Francisco, CA, United States",147.17,125.81,64.06,57.41,106.82,6.34,52.67,60.00,-
14,,"Tokyo, Japan",136.19,92.50,93.94,95.37,140.78,17.77,46.50,52.50,-
15,,"Vancouver, Canada",133.65,95.55,61.65,84.72,110.81,10.42,40.00,52.50,-
16,,"Los Angeles, CA, United States",121.27,117.97,39.45,83.33,94.78,5.89,52.33,76.04,-
17,,"Dublin, Ireland",117.57,88.79,44.09,25.46,124.54,6.89,11.67,37.50,-
18,,"New York, NY, United States",115.47,100.00,59.03,63.89,100.00,10.81,31.57,68.33,-
19,,"Ljubljana, Slovenia",111.73,55.29,64.29,76.11,81.91,15.56,24.67,35.00,-
20,,"Madrid, Spain",108.58,93.39,78.35,62.92,90.54,11.06,26.25,86.67,-
21,,"Melbourne, Australia",107.12,97.41,45.98,72.22,125.54,10.49,31.56,64.03,-
22,,"Porto, Portugal",104.21,52.79,65.23,78.33,73.81,6.80,25.33,60.62,-
23,,"Lisbon, Portugal",102.92,63.25,58.35,66.27,78.69,8.45,35.40,51.89,-
24,,"Brno, Czech Republic",90.44,60.62,67.84,58.10,65.68,10.18,27.25,68.00,-
25,,"Singapore, Singapore",87.08,91.24,79.79,58.97,101.03,17.16,66.25,70.83,-
26,,"Bangalore, India",86.34,71.56,38.78,71.78,35.47,8.28,37.38,72.84,-
27,,"Prague, Czech Republic",85.70,59.77,59.70,63.24,68.66,14.11,29.00,59.00,-
28,,"Brussels, Belgium",83.68,81.03,42.97,84.03,114.64,6.33,22.00,90.00,-
29,,"Curitiba, Brazil",77.95,47.09,57.71,59.03,84.16,10.74,26.00,55.62,-
30,,"Constanta, Romania",76.83,28.79,61.72,53.24,54.73,13.44,30.75,36.67,-
31,,"Johannesburg, South Africa",75.67,97.31,13.04,69.07,78.79,2.77,36.00,91.67,-
32,,"Paris, France",72.12,80.08,52.39,72.92,119.69,17.10,32.80,74.17,-
33,,"Pune, India",69.20,60.16,60.47,68.06,33.43,12.16,65.33,71.67,-
34,,"Istanbul, Turkey",55.71,58.80,66.63,73.89,77.93,6.11,74.40,90.00,-
35,,"Warsaw, Poland",51.96,62.54,60.57,49.19,57.41,14.25,46.25,82.50,-
36,,"Budapest, Hungary",49.37,39.19,70.16,64.81,65.62,10.49,31.00,90.25,-
37,,"London, United Kingdom",45.74,87.96,40.13,67.78,126.08,14.41,70.60,81.88,-
38,,"Kuala Lumpur, Malaysia",44.40,78.15,23.44,67.22,57.24,5.54,29.00,112.92,-
39,,"Chennai, India",43.74,64.37,58.85,64.25,32.09,13.20,51.00,103.57,-
