,Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
0,,"Canberra, Australia",236.98,132.66,64.47,81.85,102.65,4.63,10.80,14.76,-
1,,"Ottawa, Canada",218.77,131.88,76.09,68.64,86.15,4.90,40.00,22.46,-
2,,"Frankfurt, Germany",214.97,139.18,72.48,63.10,96.57,5.07,28.75,31.29,-
3,,"Zurich, Switzerland",208.21,124.64,78.90,75.61,157.47,8.69,24.80,17.14,-
4,,"Denver, CO, United States",205.94,133.98,60.40,82.59,82.10,1.81,43.33,37.93,-
5,,"Bergen, Norway",196.96,99.55,84.27,89.40,140.03,9.05,28.40,15.19,-
6,,"Calgary, Canada",196.60,118.80,66.90,71.05,96.72,5.41,40.36,22.57,-
7,,"Trondheim, Norway",192.96,92.49,80.20,84.81,152.89,6.88,19.14,13.19,-
8,,"Boston, MA, United States",192.59,115.63,61.21,79.35,92.94,4.62,42.40,24.59,-
9,,"Edmonton, Canada",187.41,102.13,62.96,76.15,92.66,4.08,33.60,21.53,-
10,,"San Diego, CA, United States",187.14,141.65,52.75,65.28,77.48,2.75,56.25,42.59,-
11,,"Wellington, New Zealand",185.75,91.81,69.22,73.52,104.28,5.31,27.50,14.52,-
12,,"Seattle, WA, United States",179.34,115.27,59.66,67.87,91.63,4.38,42.50,31.28,-
13,,"Adelaide, Australia",176.71,104.04,58.35,61.11,103.12,4.97,20.20,25.99,-
14,,"Chicago, IL, United States",175.19,117.29,45.09,62.92,81.01,2.82,33.00,34.04,-
15,,"Copenhagen, Denmark",174.66,97.83,69.37,85.74,117.24,6.54,27.57,32.76,-
16,,"Dubai, United Arab Emirates",174.64,115.52,77.17,67.04,70.78,5.33,35.43,54.74,-
17,,"Berlin, Germany",173.06,99.44,72.25,73.08,84.51,6.22,49.46,28.04,-
18,,"Melbourne, Australia",171.77,107.25,59.17,76.31,108.72,8.30,40.81,24.25,-
19,,"Toronto, Canada",171.60,101.75,71.34,70.87,89.22,7.96,40.11,30.27,-
20,,"Vienna, Austria",169.65,94.09,70.09,77.78,90.16,12.51,25.33,25.18,-
21,,"Perth, Australia",168.51,102.81,56.52,74.95,119.89,7.47,38.45,21.02,-
22,,"Brisbane, Australia",167.15,93.27,62.65,75.15,106.39,5.58,45.82,20.33,-
23,,"Sydney, Australia",165.60,101.08,62.18,69.03,111.84,8.70,43.47,20.13,-
24,,"Stockholm, Sweden",160.86,97.09,56.65,71.64,113.94,11.58,37.75,14.72,-
25,,"Tokyo, Japan",159.93,93.46,80.47,78.70,104.20,7.89,47.64,37.80,-
26,,"Vancouver, Canada",159.16,91.55,64.68,81.09,98.11,9.93,40.75,26.58,-
27,,"San Francisco, CA, United States",157.71,103.91,56.51,74.21,93.66,7.43,40.50,36.85,-
28,,"Montreal, Canada",153.89,100.23,62.08,69.19,83.27,4.86,48.13,42.06,-
29,,"Oslo, Norway",149.00,94.63,58.35,73.44,141.22,8.40,32.00,30.08,-
30,,"Auckland, New Zealand",147.94,89.13,50.63,72.13,107.55,6.35,34.00,29.02,-
31,,"Cape Town, South Africa",147.80,96.95,30.09,71.30,46.83,4.60,42.44,32.58,-
32,,"Houston, TX, United States",145.37,120.57,43.21,75.61,86.52,2.59,40.94,67.46,-
33,,"Tallinn, Estonia",140.70,48.06,68.91,74.54,69.59,12.54,25.50,9.57,-
34,,"Vilnius, Lithuania",130.05,43.84,70.83,72.99,61.20,13.61,25.71,16.08,-
35,,"New York, NY, United States",125.73,100.00,54.21,54.82,100.00,7.85,39.38,51.95,-
36,,"Prague, Czech Republic",125.25,64.10,67.37,70.71,58.48,12.87,34.33,35.13,-
37,,"Dublin, Ireland",123.66,88.34,39.75,38.25,111.45,6.57,24.12,31.14,-
38,,"Porto, Portugal",123.20,57.14,60.29,69.17,66.68,7.64,22.29,39.00,-
39,,"Ljubljana, Slovenia",122.43,59.39,65.41,60.96,77.54,11.88,20.80,31.84,-
40,,"Brno, Czech Republic",116.97,62.88,65.13,56.76,58.03,10.20,30.22,41.02,-
41,,"Brussels, Belgium",115.01,89.83,48.65,70.56,103.82,5.85,24.33,66.96,-
42,,"Manchester, United Kingdom",114.21,63.49,47.75,86.11,104.72,6.23,45.25,37.11,-
43,,"Ahmedabad, India",108.20,66.10,76.59,67.13,27.06,6.77,49.00,70.47,-
44,,"Johannesburg, South Africa",108.14,98.51,16.39,60.62,52.81,3.24,36.83,62.51,-
45,,"Cluj-Napoca, Romania",107.89,40.47,77.27,57.14,47.38,12.66,23.20,37.72,-
46,,"Lisbon, Portugal",107.61,54.64,61.33,64.19,71.23,10.25,41.54,34.61,-
47,,"Zagreb, Croatia",102.87,49.88,67.39,62.50,71.35,13.84,33.86,34.93,-
48,,"London, United Kingdom",96.94,81.53,54.26,74.07,113.27,14.76,47.53,51.38,-
49,,"Thessaloniki, Greece",96.01,43.27,67.57,69.41,83.97,11.66,20.50,47.28,-
50,,"Madrid, Spain",95.29,68.46,63.88,75.19,82.20,13.13,34.88,63.54,-
51,,"Paris, France",94.51,88.48,47.39,83.33,120.68,15.87,35.67,62.47,-
52,,"Warsaw, Poland",94.04,63.50,65.56,55.16,58.61,12.47,37.50,55.79,-
53,,"Wroclaw, Poland",93.13,56.11,65.42,57.60,54.42,10.99,35.86,55.06,-
54,,"Bangalore, India",90.10,74.25,49.59,69.38,28.30,8.13,45.12,76.56,-
55,,"Singapore, Singapore",83.83,64.02,80.22,59.90,101.30,23.00,48.10,45.01,-
56,,"Barcelona, Spain",83.25,66.67,59.13,69.75,82.13,12.96,28.71,70.94,-
57,,"Hyderabad, India",80.33,66.59,59.24,62.77,25.56,6.93,50.45,82.88,-
58,,"Hong Kong, Hong Kong",79.12,68.36,82.03,73.98,82.73,25.87,40.43,64.25,-
59,,"Pune, India",79.09,77.54,51.43,67.01,28.32,10.37,64.00,77.12,-
60,,"Buenos Aires, Argentina",77.80,57.75,44.86,81.60,71.30,10.47,47.22,60.59,-
61,,"Budapest, Hungary",74.71,46.64,61.58,48.67,61.31,9.67,41.54,55.10,-
62,,"Ankara, Turkey",71.93,63.70,60.95,42.47,48.38,5.26,44.83,81.11,-
63,,"Istanbul, Turkey",70.62,56.89,57.13,66.74,53.56,8.59,68.38,65.42,-
64,,"Banja Luka, Bosnia And Herzegovina",69.29,42.62,66.33,39.35,51.44,13.08,24.60,59.00,-
65,,"Coimbatore, India",68.23,45.17,46.50,80.56,24.85,10.99,63.75,58.27,-
66,,"Chennai, India",68.12,61.56,64.07,65.69,27.12,15.40,47.33,79.45,-
67,,"Kuala Lumpur, Malaysia",65.61,73.61,26.05,57.24,51.94,9.23,43.67,70.48,-
68,,"Belgrade, Serbia",63.97,39.64,63.96,52.72,54.88,18.04,26.00,54.95,-
69,,"Sofia, Bulgaria",61.51,41.96,54.24,59.91,51.59,9.57,37.91,67.68,-
70,,"Milan, Italy",56.18,73.00,47.76,67.54,100.43,17.48,44.00,74.36,-
71,,"Curitiba, Brazil",54.19,33.02,41.42,55.69,59.95,15.90,28.25,44.83,-
72,,"Delhi, India",53.94,63.59,43.62,67.39,30.48,15.75,47.08,79.92,-
73,,"Mexico City, Mexico",53.89,60.10,34.72,64.58,53.39,7.52,50.56,78.55,-
74,,"Santiago, Chile",51.95,54.35,51.08,61.57,60.86,9.87,50.60,79.29,-
75,,"Bangkok, Thailand",46.89,39.31,62.05,90.15,52.81,19.91,36.50,80.41,-
76,,"Athens, Greece",43.14,41.80,47.65,48.94,86.75,12.94,41.64,59.82,-
77,,"Amman, Jordan",39.95,37.58,49.73,72.72,63.93,8.07,60.20,77.27,-
78,,"Kolkata, India",37.48,55.61,51.48,32.84,26.18,11.16,60.88,80.16,-
79,,"Bucharest, Romania",28.24,37.19,68.11,50.27,52.12,14.01,38.12,92.66,-
80,,"Rome, Italy",25.05,58.99,40.63,62.46,95.51,24.11,44.62,71.01,-
81,,"Bogota, Colombia",24.82,30.24,44.31,63.89,55.27,15.97,45.50,69.85,-
82,,"Shanghai, China",23.90,45.87,74.72,66.93,61.67,28.57,34.33,89.83,-
83,,"Kiev (Kyiv), Ukraine",17.55,36.80,49.24,40.58,49.51,16.99,33.00,81.09,-
84,,"Sao Paulo, Brazil",14.05,44.96,27.76,55.69,70.78,15.44,48.18,75.46,-
85,,"Beirut, Lebanon",13.51,40.45,50.02,63.43,73.62,18.66,41.75,88.25,-
86,,"Saint Petersburg, Russia",10.08,44.29,46.67,53.33,60.85,16.47,62.50,84.52,-
87,,"Rio de Janeiro, Brazil",7.51,44.99,28.03,47.09,68.53,18.26,45.00,74.32,-
88,,"Moscow, Russia",-1.12,47.11,46.46,47.46,73.94,21.08,58.00,85.86,-
89,,"Cairo, Egypt",-4.08,26.52,46.87,56.09,39.58,10.78,64.50,97.07,-
90,,"Mumbai, India",-5.06,47.84,58.12,63.86,31.34,28.53,74.80,92.70,-
91,,"Jakarta, Indonesia",-6.99,28.47,46.89,48.06,45.62,17.51,56.43,87.29,-
92,,"Ulaanbaatar, Mongolia",-27.10,25.38,33.77,27.23,58.05,15.70,36.86,94.98,-
93,,"Tehran, Iran",-28.84,29.60,38.23,46.55,52.65,23.75,61.00,86.85,-
94,,"Caracas, Venezuela",-35.54,18.00,17.67,45.49,122.82,18.98,38.75,72.65,-
