Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
10,United Kingdom,107.4,65.2,88.54,94.4,96.91,87.63,2010
11,Austria,107.28,59.6,85.97,96.41,87.46,89.59,2010
12,Germany,105.53,38.37,75.51,93.6,85.34,106.83,2010
13,Sweden,104.15,32.38,72.08,98.09,89.62,113.44,2010
14,Australia,100.49,52.74,79.15,101.9,82.16,114.38,2010
15,Cyprus,94.05,36.51,68.34,83.19,91.27,97.66,2010
16,Spain,91.28,45.85,70.98,67.37,82.18,52.14,2010
17,Israel,89.7,55.42,74.38,93.59,78.23,51.37,2010
18,South Korea,88.6,42.14,67.84,124.03,79.4,85.25,2010
19,United States,88.46,49.62,71.1,85.02,71.13,114.8,2010
20,Japan,86.7,55.18,72.61,100.55,66.87,97.83,2010
21,Canada,85.99,52.05,70.82,96.05,64.73,96.05,2010
22,Portugal,84.67,32.51,61.36,49.12,64.8,48.52,2010
23,United Arab Emirates,83.77,91,87,64.17,108.52,70.1,2010
24,Croatia,80.66,33.7,59.68,75.38,63.58,45.89,2010
25,Greece,77.01,32.37,57.06,76.15,78.66,61.27,2010
26,Slovenia,75.99,45.12,62.19,63.69,62.55,54.44,2010
27,Brazil,73.83,31.34,54.84,54.69,48.47,59.25,2010
28,Czech Republic,72.08,41.58,58.45,62.91,58.42,54.35,2010
29,Latvia,68.18,31.83,51.93,37.36,50.86,38.35,2010
30,Chile,67.49,19.68,46.13,55.35,41.57,53.34,2010
31,Singapore,65.94,71.85,68.58,100.33,56.41,76.79,2010
32,Jordan,65.64,26.39,48.1,88.21,65.15,22.11,2010
33,Hong Kong,64.71,58.47,61.92,93.26,50.89,53.18,2010
34,Hungary,64.42,21.12,45.07,53.27,47.98,32.47,2010
35,Serbia,62.38,24.26,45.34,49.33,60.55,35.21,2010
36,Montenegro,61.13,11.8,39.08,53.83,59.19,29.73,2010
37,Albania,60.48,13.2,39.35,51.28,52.31,27.41,2010
38,Bulgaria,59.82,24.9,44.21,51.32,48.06,31.49,2010
39,South Africa,59.44,35.32,48.66,50.89,43.29,57.81,2010
40,Russia,59.02,52.24,55.99,39.59,64.08,36.33,2010
41,Venezuela,58.93,46.95,53.58,26.93,65.16,36.23,2010
42,Turkey,56.87,23.66,42.03,53.66,39.92,62.17,2010
43,Bahrain,55,73.46,63.25,68.32,68.45,56.04,2010
44,Colombia,54.08,14.35,36.33,53.32,34.73,32.49,2010
45,Iran,53.87,70.18,61.16,59.65,31.19,38.03,2010
46,Paraguay,53.59,11.22,34.65,40.51,31.92,19.46,2010
47,Argentina,53.21,21.18,38.9,34.51,48.02,40.6,2010
48,Poland,52.62,30.67,42.81,42.56,44.95,52.2,2010
49,Bosnia And Herzegovina,51.19,7.86,31.83,53.6,38.84,31.29,2010
50,Lithuania,50.06,28.7,40.51,57.37,36.29,43.27,2010
51,Mexico,49.69,22.93,37.73,45.96,41.02,51.43,2010
52,Romania,45.7,27.45,37.55,41.38,41.19,24.32,2010
53,Ecuador,45.67,19.06,33.78,47.42,28.26,37.86,2010
54,Belarus,43.04,27.94,36.29,43.72,44.55,12.82,2010
55,China,40.05,26.12,33.83,64.96,29.54,36.79,2010
56,Indonesia,38.56,21.16,30.78,45.64,35.16,20.4,2010
57,Bolivia,38.01,19.41,29.7,26.4,32.87,43.06,2010
58,Malaysia,37.55,13.87,26.97,50.96,31.39,61.73,2010
59,Thailand,36.56,21.56,29.86,51.31,28.24,30.76,2010
60,Pakistan,32.38,9.67,22.23,35.28,30.87,37.36,2010
61,Ukraine,31.37,22.99,27.62,23.7,36.16,39.99,2010
62,India,28.71,9.58,20.16,30.99,23.86,43.55,2010
1,Ireland,126.05,85.85,110.11,154.51,131.56,59.8,2009
2,Netherlands,123.76,71.86,103.17,90.11,108.51,41.55,2009
3,France,120.92,77.74,103.79,115.38,118.28,45.46,2009
4,Belgium,117.53,78.77,102.16,110.88,107.56,55.58,2009
5,Sweden,112.54,33.33,81.12,98.95,85.25,62.79,2009
6,Austria,110.39,65.99,92.78,97.71,84.8,54.37,2009
7,Germany,109.85,39.96,82.12,92.6,89.25,74,2009
8,Israel,106.8,58.82,87.77,110.47,67.16,42.46,2009
9,Italy,105.76,77.87,94.7,99.07,101.99,41.78,2009
10,South Korea,102.07,34.72,75.35,149.99,102.74,38.46,2009
11,United Kingdom,100.21,71.82,88.95,93.27,97.18,66.35,2009
12,United States,91.68,58.01,78.33,83.66,80.22,97.97,2009
13,Portugal,88.96,36.41,68.12,51.06,60.34,41.2,2009
14,Australia,83.34,48.19,69.4,98.87,76.74,120.04,2009
15,Canada,82.27,61.49,74.03,99.73,65.05,74.74,2009
16,Chile,79.86,22.06,56.93,55.43,40.81,40.4,2009
17,Greece,77.4,36.97,61.36,74.5,78.06,38.26,2009
18,Singapore,74.66,107.56,87.71,110.78,91.09,56.13,2009
19,Hong Kong,74.5,56.21,67.25,95.14,88.66,45.78,2009
20,Czech Republic,74.18,46.15,63.06,63.76,54.65,33,2009
21,Brazil,70.46,37.24,57.28,73.55,51.76,47.06,2009
22,Latvia,68.8,43.53,58.77,37.87,49.32,22.19,2009
23,Jordan,66.43,19.69,47.89,88.69,62.05,15.89,2009
24,South Africa,64.74,44.64,56.77,53.34,40.79,54.23,2009
25,Serbia,62.67,29.33,49.44,51.6,60.36,25.12,2009
26,Hungary,62.05,28.81,48.87,50.34,43.26,32.03,2009
27,Colombia,58.52,19.85,43.18,60.98,44.27,28.44,2009
28,Bahrain,58.01,82.35,67.67,70.11,67.2,48.96,2009
29,Mexico,54.16,22.39,41.56,39.96,48.66,42.91,2009
30,Poland,53.51,34.76,46.07,40.69,44.58,26.9,2009
31,Bosnia And Herzegovina,49.63,13.06,35.12,58.76,35.99,18.57,2009
32,Bolivia,46.72,21.76,36.82,27.09,37.16,32.47,2009
33,China,43.47,25.07,36.17,58.35,35.17,35.04,2009
34,Thailand,39.85,24.49,33.76,53.3,25.32,33.42,2009
35,India,38.48,10.52,27.39,34.02,29.53,41.43,2009
36,Ukraine,35.74,28.76,32.97,27.19,37.07,30.33,2009
