,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Albania,28.71
1,,Algeria,21.07
2,,Argentina,46.84
3,,Armenia,50.70
4,,Australia,47.72
5,,Austria,34.90
6,,Azerbaijan,29.15
7,,Bahrain,72.45
8,,Bangladesh,21.82
9,,Belarus,34.71
10,,Belgium,27.80
11,,Bolivia,40.03
12,,Bosnia And Herzegovina,25.74
13,,Brazil,33.94
14,,Bulgaria,24.14
15,,Cambodia,39.75
16,,Canada,37.35
17,,Chile,39.20
18,,China,39.46
19,,Colombia,34.53
20,,Costa Rica,53.57
21,,Croatia,37.31
22,,Cyprus,54.76
23,,Czech Republic,33.95
24,,Denmark,35.43
25,,Dominican Republic,28.95
26,,Ecuador,44.10
27,,Egypt,21.15
28,,Estonia,55.81
29,,Finland,46.15
30,,France,42.77
31,,Georgia,34.87
32,,Germany,32.63
33,,Greece,35.58
34,,Guatemala,51.34
35,,Hong Kong,82.34
36,,Hungary,39.13
37,,Iceland,80.00
38,,India,23.82
39,,Indonesia,27.88
40,,Iran,32.87
41,,Iraq,38.93
42,,Ireland,45.91
43,,Israel,71.86
44,,Italy,52.24
45,,Jamaica,-
46,,Japan,85.54
47,,Jordan,59.83
48,,Kazakhstan,53.59
49,,Kenya,50.53
50,,Kosovo (Disputed Territory),10.57
51,,Kuwait,117.41
52,,Latvia,39.14
53,,Lebanon,70.51
54,,Lithuania,44.21
55,,Luxembourg,63.68
56,,Macedonia,21.51
57,,Malaysia,32.63
58,,Malta,49.14
59,,Mauritius,38.37
60,,Mexico,32.53
61,,Moldova,31.84
62,,Montenegro,34.71
63,,Morocco,24.98
64,,Nepal,26.76
65,,Netherlands,31.38
66,,New Zealand,39.65
67,,Nigeria,36.73
68,,Norway,49.54
69,,Oman,49.40
70,,Pakistan,20.64
71,,Panama,53.50
72,,Peru,49.39
73,,Philippines,34.18
74,,Poland,29.25
75,,Portugal,39.50
76,,Puerto Rico,28.75
77,,Qatar,118.40
78,,Romania,33.06
79,,Russia,37.92
80,,Saudi Arabia,77.98
81,,Serbia,24.16
82,,Singapore,95.27
83,,Slovakia,28.89
84,,Slovenia,45.10
85,,South Africa,36.38
86,,South Korea,54.16
87,,Spain,42.18
88,,Sri Lanka,19.80
89,,Sweden,38.86
90,,Switzerland,88.26
91,,Taiwan,44.63
92,,Tanzania,67.15
93,,Thailand,58.20
94,,Trinidad And Tobago,51.25
95,,Tunisia,21.56
96,,Turkey,34.78
97,,Ukraine,14.94
98,,United Arab Emirates,96.21
99,,United Kingdom,41.14
100,,United States,37.05
101,,Uruguay,48.07
102,,Venezuela,7.59
103,,Vietnam,22.19
104,,Zimbabwe,50.00
